ID_REF,MCM2,DEK,H2AFZ,METRN,NFIB,TPX2,MCM6,TOPBP1,FEN1,TTK,ESR1,MELK,E2F3,CYP2B7P,TP53TG1,RARRES1,ROPN1B,PLCH1,SLC7A8,MLPH,Result
GSM615107,10.06244524,11.38822705,10.91206171,7.985212943,12.40863738,10.10338299,10.54550414,9.900301892,9.622676653,8.779039083,8.253002147,9.480440049,10.05916689,7.213250884,8.200910749,12.75062981,9.381538441,7.605451747,9.685511427,11.6288308,0
GSM615108,11.30782527,10.81636178,13.20776968,10.61034262,10.41050228,10.62929563,10.95031829,9.803894198,10.37691429,8.16566502,12.66105787,9.492826148,7.947477473,10.42909737,9.706970756,6.159107563,7.470828101,7.764142421,10.57622172,13.04832536,0
GSM615109,10.23665693,11.43560593,12.21854153,8.996597806,11.09767236,11.21830101,11.36508377,9.263540242,10.33544605,9.871470921,8.307607851,11.89459775,10.8476952,6.989472487,9.584393105,14.23768571,7.823173812,8.909583128,8.292135371,10.59445101,0
GSM615110,11.16564581,12.12796514,11.40237914,7.973824885,13.51297398,10.164334,10.0407311,10.10515095,10.01651368,10.25260262,9.463367636,10.99314903,10.63274676,5.519859136,9.369160691,11.95297628,7.789054437,9.054474435,6.413437568,11.63406886,1
GSM615111,10.29975555,10.40381917,11.17038355,7.941516961,13.29150531,11.38369555,9.30762353,9.670739985,8.86349933,10.79062857,10.19428778,10.27791008,8.89083856,7.391763075,9.240708044,15.16839602,10.32615992,7.571825074,8.87714309,9.74255771,0
GSM615112,10.96831878,11.7543428,13.61811164,8.939037499,12.43587938,11.65679303,11.18449804,9.980067454,10.53091844,10.44129933,10.14605374,11.5467891,9.616837334,5.836972266,9.627392915,14.00385172,7.926466098,7.317602988,8.874151172,9.582552373,0
GSM615113,11.13339094,12.40669022,10.7505347,6.896911995,13.06568981,10.54466647,11.12604476,9.85565068,9.28820937,10.14537835,9.258499875,10.93125064,9.992404977,8.678937373,8.4127567,9.708278297,9.042884845,7.63671001,9.422580089,12.06908746,0
GSM615114,9.636612812,10.75239254,10.55324872,9.424595653,10.62324116,9.171776172,9.557954689,9.170855916,8.614450484,7.190952239,13.35521304,8.291261327,8.729317792,14.0627669,9.743175205,8.960709189,7.323557929,7.731238615,9.498494461,13.68017589,0
GSM615115,9.597050403,12.17434642,12.03631049,8.192433604,12.15116289,10.17323174,9.99684456,9.135404224,10.51230685,8.392933478,7.543431434,9.660567487,8.945193898,6.134522773,9.370845642,10.01196064,10.45542727,7.675746371,7.638144149,8.388895152,0
GSM615116,10.62772113,12.29509037,12.09389948,7.975239896,12.03878224,10.16399431,10.76774911,9.273694758,9.600861904,9.268124749,9.765740111,10.65264996,9.827508703,7.433146437,9.505310618,12.23686702,9.462413572,8.465230008,8.966244284,10.34263293,0
GSM615117,10.69236818,12.71695703,12.35303973,7.289816459,12.15401155,10.20061455,10.77194896,9.962193782,10.28290563,9.967640559,9.645552139,11.52838957,9.999953122,6.861045873,8.980466238,11.1689558,8.732334924,9.003226446,8.346338522,10.26818513,0
GSM615120,9.585132616,10.48463286,11.16976934,8.913273245,10.73632964,8.781014169,9.442588211,8.732208765,7.774707939,6.60995002,14.36601072,7.880426924,7.250729453,13.54402987,10.29608454,9.946998947,7.807053593,6.568742443,10.49699899,12.41564871,0
GSM615121,10.50519409,10.16449141,12.26306873,10.0058031,8.615885465,9.710967574,10.17083547,9.555757831,9.744936086,8.256551478,13.57565772,9.041309446,7.932756957,5.976463263,10.87721365,7.203886452,6.377176304,7.60227212,9.102378237,13.67467637,0
GSM615122,9.513312408,10.15091499,11.32137496,10.9532341,9.929139962,9.687169851,9.39692058,9.485573799,8.830353224,6.554257934,13.66721474,8.448365448,8.028885862,12.68310039,10.50626648,8.734858629,8.127649951,7.610339499,10.61447942,13.87064105,1
GSM615123,11.84712353,13.31892958,12.47976179,5.025002736,10.08568686,11.1838137,11.67591466,10.45777111,10.92299147,10.091322,12.29172663,11.01523055,10.15264875,10.08406216,9.152535504,8.976358939,7.653618398,7.353949319,8.766385518,11.41365297,1
GSM615124,10.24247296,10.9852799,12.55382801,8.19660025,11.4335429,9.880509008,10.1141816,9.846469271,9.938257237,7.937544813,13.55874593,9.644208493,9.393052291,8.66407721,9.314921898,10.13353153,7.905232421,7.742266189,9.155107241,13.16251936,0
GSM615125,9.45667032,11.08906435,11.83249863,9.598625428,12.32525083,9.119474213,9.463239727,9.124053647,9.315882204,5.528380914,12.94651892,9.200402308,6.99582952,5.664701689,9.9129807,10.56891467,9.375408647,8.407615434,9.466906992,14.11751566,0
GSM615126,9.891989061,10.45102791,12.16610085,9.397678167,8.357464427,10.06815821,10.40309809,9.223898838,9.481785442,8.046588693,13.84007426,9.17537422,7.429515746,13.01990422,10.02384155,8.629284466,6.877358122,5.35523491,10.32288668,13.66253159,0
GSM615127,10.36316258,9.914713115,12.51554016,8.91438263,10.74677906,9.628485417,9.38478694,9.449303339,9.482511568,7.799951112,13.75335067,10.68480901,7.814133061,9.578247247,9.240157437,9.049396655,7.534867673,7.777729356,10.20851826,13.86202304,0
GSM615128,10.22288264,11.53870236,11.34678404,11.06923984,10.27579848,9.540814839,10.32082317,9.470613376,8.988628551,8.304797739,12.58717358,9.07591449,8.433445656,8.678255843,9.735194772,10.29840301,5.665303816,8.162687305,9.198410113,12.14190965,0
GSM615129,9.990145667,10.92054448,11.66004535,9.539451893,10.05875822,9.877968128,10.6037071,9.664575727,8.815621212,7.399806245,12.73827922,9.034452609,8.345023861,6.208635951,9.69627389,10.70002886,7.665527011,7.350419209,9.67187822,12.57035995,0
GSM615130,10.12918559,10.56934118,11.46210474,10.94938257,9.348840949,9.129817842,10.06108859,9.337826525,9.121241026,7.539722511,10.53373688,9.282241238,8.355909835,8.869697229,9.702888144,8.921331718,7.531971174,7.327409151,9.482299436,12.09091764,0
GSM615131,10.38470943,11.52631948,11.45611579,9.344343743,11.48085381,8.937703485,10.47458103,9.219875086,9.119767649,8.01885594,14.20594161,8.776825581,8.081893984,8.971770651,9.985209535,10.53128982,7.81834765,7.405708501,10.38320453,12.98235512,0
GSM615132,10.31775398,10.5397973,11.66898508,10.13379891,9.445772998,9.849379621,10.53598011,9.597278008,9.852707654,8.585652552,12.03919818,8.939215137,8.63600059,7.585197452,10.9136423,7.192574922,7.168849459,8.396522774,10.06613472,12.63995327,0
GSM615133,9.717406869,10.6530905,10.69791461,9.863906684,11.90091625,9.229694384,9.594801072,8.446432543,8.667956483,4.233841139,13.70346301,6.925028113,7.635002468,9.835149661,10.49149358,9.697555659,8.707745426,7.501294446,10.77797767,13.31468321,0
GSM615134,9.479895106,10.4893487,11.13207134,9.570507496,12.13722219,9.458504231,10.5844622,9.382682169,9.156461521,7.371795076,12.62577858,8.410045856,8.463850177,10.4324647,10.12225514,9.451650263,7.744333294,6.214207738,10.10172204,12.94056633,0
